entnum;Ellix;fj;score;nom
484893185;IE4;5499;3;CHARLET ET ASSOCIES
413069188;IE4;5498;6;ODYSSEE
400460267;NA;6540;7;SCI POTERIE LA BATISSE
315228726;IE4;5710;4;ZIEGLER SERVICES
535115554;IE3;5498;3;PURE INFORMATIQUE
300529823;IE4;5710;4;CAD'STORES
401816210;IE4;5710;3;GROUPE AXXESS
534261797;IE3;5499;2;SARL CARROSSERIE DU BREAU
499173482;IE4;5499;2;SARL NALA
500778246;IE4;5499;4;ISOLATION FEU SERVICES
453106718;IE3;5710;2;AERO SERVICES
430394072;IE2;5499;1;SARL ECK
539415679;IE4;5720;3;MANUTENTION TERRASSEMENT SERVICE
400731923;IE4;5499;5;SOCIETE CLEE
431301738;IE4;5498;4;SARL LE PETIT VILLAGE
514036722;IE4;5499;4;DUBOISPORT MOD
449946706;IE4;5499;4;SARL ORMAN
533543534;IE4;5498;2;IMPORT EXPORT 17
441905338;IE4;5720;4;INGENIERIE ET APPLICATION DES TRAVAUX SANS TRANCHEE
418607321;NA;1300;5;BOUKALAA MOHAMED
412012197;IE4;5498;4;SARL ARTISANS SERVICES
488320615;IE4;5499;5;SARL TONIOL
514496082;NA;5710;0;SECUVAD
422070078;IE4;5499;2;EFFICARE
485215313;IE4;5720;5;SLAD - SOCIETE LILLOISE D'AIDE A DOMICILE
539962712;IE4;5498;5;MARIR
518333737;IE4;5710;3;SUD MECA POMPES
401089750;IE4;5499;4;SAMARYL
502166044;NA;1300;3;FAYANT JEREMY GERALD
491172722;NA;5498;0;JMC FORMATION
343904405;IE4;5498;6;L'ETE INDIEN EURL
515392074;IE2;5499;1;SOFADES
394745202;IE4;5499;6;LE CHATEAU DE VALLIQUERVILLE
529314403;IE3;5499;3;JLB CONSULTING
498567627;IE4;5499;5;S T P A
504601212;NA;6220;6;MARONI STAR LINER
517497269;NA;1200;6;PERRET MICKAEL JEAN LOUIS
437678378;IE4;5499;2;MALVINA EUROPE
399194919;IE4;5499;3;LAVERIE DU COULET
537727117;IE4;5498;1;MILIEU DE TERRAIN
453013690;IE4;5499;4;M.S.M DOS SANTOS
453013690;IE4;5499;4;M.S.M DOS SANTOS
535123723;IE4;5499;3;ISOL BEKA
537727117;IE4;5498;1;MILIEU DE TERRAIN
530098391;IE4;5499;5;THIJY COIFFURE
510661812;IE4;5499;3;ALFMAX
503866469;IE4;5499;3;FER-ALU
425026010;IE4;5499;5;SECOURS AMBULANCIER DE LA SAVE
491543575;NA;5202;0;SNC MULTISERVICES GRANGEAIS
515202067;NA;1200;7;DE WAAL MOUNIRA nee FADEL
790642359;IE4;5710;4;GEST COM
404082273;IE4;5710;5;GARY
524434685;IE4;5498;2;AUBERGE DE ROMEO ET JULIETTE
404082273;IE4;5710;5;GARY
534229711;IE4;5499;4;CHABERT IMMOBILIER
319948576;IE4;5720;4;KEP TECHNOLOGIES INTEGRATED SYSTEMS
314775990;IE4;5499;6;ENTREPRISE TETRASOL
489551663;IE4;5498;4;PORT MINIC
498889336;IE4;5498;4;MARINE
524803608;IE4;5710;6;YUCCALOC
509336640;IE4;5710;4;AERIALGROUP
343796215;NA;5599;0;ELECTRICITE INDUSTRIELLE BATIMENT-EIB
453013690;IE4;5499;4;M.S.M DOS SANTOS
488639386;IE4;5499;2;T D T
484020953;IE4;5499;4;A S Y A
440763720;NA;5498;0;SARL BABILLON
390612646;NA;6533;7;GAEC LA BELLE ETOILE
523153989;NA;1200;6;TROILO FLORENT PIERRE
388808719;IE4;5499;4;EQUAMODE
789911096;IE4;5498;6;SOPRIMMO INVESTISSEMENTS
388808719;IE4;5499;4;EQUAMODE
794533976;IE4;5498;3;WM
452824220;IE4;5202;4;ATOUTS PISCINE
538294596;IE4;5498;5;HMB CONSULTING
538294596;IE4;5498;5;HMB CONSULTING
529639312;IE4;5710;5;FACADE 5
522993773;IE4;5710;4;SINES FRANCE
539962712;IE4;5498;5;MARIR
482662707;IE4;5499;4;JMD
488154881;IE3;5499;4;ANSWERDESIGN
434506598;IE3;5499;3;AU PETIT MOULIN DU ROUVRE
491551347;IE4;5498;5;KWA
477628002;IE4;5498;3;1 1 1
523029767;IE4;5499;6;SPORTS UNITED DEVELOPMENT SPORTS AGENCY
752406413;IE4;5499;3;REUNION TOURISME RECEPTIF
752406413;IE4;5499;3;REUNION TOURISME RECEPTIF
531134989;IE4;5498;4;PHARMACIE REMY-BIED
535123723;IE4;5499;3;ISOL BEKA
749992202;IE4;5499;6;L'ETAL DE VOULX
531404606;IE2;5499;1;MATMACO
505368605;IE4;5499;4;JEANDEL N ET S
519525323;IE1;5720;1;CITY MODELS
792050080;IE4;5710;2;SUD OUEST NUMERIQUE
423827294;NA;1300;5;SOUZA MARANHAO E SILVA Aridson
400800694;IE4;5710;4;AABAS INTERACTIVE
530239201;IE4;5720;5;CARAIBES HOUSE BOAT
789284288;IE4;5499;4;CARROSSERIE DE BOISSY
512590308;IE4;5499;2;LA GARE DES ANNEES FOLLES
524955895;IE4;5498;2;BLUE LAGON PISCINES
793526096;IE4;5499;3;NATOUCH
448571455;NA;1200;4;LAMOTTE MICKAEL GREGORY RENE
377942057;IE4;5499;4;STAR CLEAN
352614663;IE4;5720;7;TF1 PRODUCTION
524137221;NA;5498;0;ASPER
503205734;IE4;5710;5;SAS PMR
530619469;IE4;5499;3;LA FOURNEE DU GOIS
794366245;IE4;5498;2;DEVANCES SECURITY
540030145;IE4;5710;5;STORY DIFFUSION
503149809;IE4;5499;5;A T BONAMY
480231745;IE4;5498;5;LAUREMMA
495033615;IE4;5498;5;EURL SICICOM
518443585;IE3;5499;1;LES AULNES GILLION
523009082;IE4;5498;5;EURL O PRE DU FROMAGE
538278607;IE4;5499;4;TAYSO FRANCE
538278607;IE4;5499;4;TAYSO FRANCE
502166044;NA;1300;3;FAYANT JEREMY GERALD
477855340;IE3;5498;1;BM RENOVATION
483786331;IE4;5710;7;CREDIT AGRICOLE CENTRE LOIRE INVESTISSEMENT
504250812;IE4;5202;2;TC RANGER
