;PSTATM;TMMOY;RR;FXAB
7005;1006,2;6,1;68;24,9
7015;1008,9;6,3;58;25,8
7020;1012,9;8,2;88;35
7027;1007,1;6,4;74;29,6
7037;996,5;6;76;23,9
7072;1003,3;5,6;67;25,2
7110;1004,4;7,3;118;30,6
7117;1008,5;8,1;81;32,3
7130;1011,1;7,1;97;26,7
7139;997,7;6,1;93;26,7
7149;1004;6,7;88;26,8
7168;1000,6;5,8;52;22,1
7181;973,5;4,8;69;23,2
7190;996,8;6,2;42;23,2
7207;1010,9;8,6;64;37,5
7222;1012,4;7,9;84;24,8
7240;1001,6;7,1;77;23,6
7255;995;6,5;83;24,6
7280;987,5;6;53;22,1
7299;982,1;5,5;48;21,5
7314;1013,1;9,4;58;26,5
7335;1000,8;7,1;85;22,8
7434;966,9;6,4;72;20,6
7460;975,8;6,8;28;26,9
7471;;3,7;47;21
7481;985,8;7;74;22,8
7510;1010,2;9,4;110;19,2
7535;984,2;7,7;102;15,3
7560;837;-0,9;81;44,2
7577;1005;8,8;70;25,9
7591;;5,6;48;22,3
7607;1009,2;9,1;100;24,8
7621;972,8;7,6;131;20,3
7627;966,9;7,6;75;23,8
7630;997,7;9,2;44;21,9
7643;1012,9;10,5;21;22,9
7650;1008,7;10,7;39;26,7
7661;995,7;11;43;32,6
7690;1008,3;11,7;27;23,4
7747;1009,1;10,9;34;31,2
7761;1010,5;11,3;37;22,7
7790;1010,2;11,7;14;27,1
61968;1010,9;28,6;;
61970;;;;
61972;1011,2;28,3;;
61976;1011,4;29,1;197;
61980;1012,1;26,8;157;17,4
61996;1017,9;17,4;207;23
61997;996;8,1;222;38,2
61998;1008;7,9;40;26,6
67005;1010,7;29,1;347;14,2
78897;1015,8;25;143;18,5
78925;1015,1;25,9;190;18,7
81401;1012,5;26,3;162;14,8
81405;1012,1;26,8;364;14,1
81408;1011,8;26,5;315;16,4
81415;1000,9;26,6;270;16,5
89642;972,7;-9,3;;47,4
