Date,Open,High,Low,Close,Volume,Adj Close
2015-12-04,105.90,106.75,104.65,105.45,1789600,105.45
2015-12-03,108.00,110.00,104.20,105.55,2648700,105.55
2015-12-02,109.65,110.50,107.75,108.00,1490100,108.00
2015-12-01,113.20,113.40,109.25,109.75,2563200,109.75
2015-11-30,115.00,116.25,113.70,115.50,1221300,115.50
2015-11-27,116.00,116.95,115.65,116.00,523400,116.00
2015-11-26,116.15,117.00,115.30,116.70,700600,116.70
2015-11-25,114.45,116.85,114.45,116.30,914400,116.30
2015-11-24,115.55,115.75,113.25,114.15,1012600,114.15
2015-11-23,116.20,116.35,115.30,116.10,770000,116.10
2015-11-20,115.75,116.95,114.25,116.25,1123500,116.25
2015-11-19,116.80,117.00,113.85,114.95,1499500,114.95
2015-11-18,120.50,121.35,112.85,114.50,3691100,114.50
2015-11-17,121.30,123.65,121.15,123.65,831700,123.65
2015-11-16,118.60,120.80,118.15,120.60,825900,120.60
2015-11-13,121.15,121.40,118.55,119.65,998200,119.65
2015-11-12,122.55,123.20,120.60,121.20,820600,121.20
2015-11-11,121.85,123.30,121.80,122.95,664300,122.95
2015-11-10,122.05,122.35,120.65,121.20,818400,121.20
2015-11-09,122.35,122.85,121.20,121.35,669900,121.35
2015-11-06,121.75,122.75,120.35,122.70,1257400,122.70
2015-11-05,120.80,121.95,119.85,121.55,913200,121.55
2015-11-04,120.80,122.00,120.30,120.95,919000,120.95
2015-11-03,119.60,120.65,119.05,120.65,933400,120.65
2015-11-02,116.90,119.90,116.80,119.45,904500,119.45
2015-10-30,118.75,119.00,116.90,117.90,746000,117.90
2015-10-29,119.35,119.50,117.30,118.35,749400,118.35
2015-10-28,117.45,119.20,117.05,118.55,837000,118.55
2015-10-27,116.40,118.20,116.25,117.25,1219600,117.25
2015-10-26,115.25,117.00,114.90,116.40,848000,116.40
2015-10-23,114.45,116.55,114.05,115.90,1113000,115.90
2015-10-22,109.45,113.80,109.10,113.35,1149600,113.35
2015-10-21,109.60,110.05,108.20,109.65,649200,109.65
2015-10-20,110.00,110.20,108.30,109.00,758000,109.00
2015-10-19,110.10,111.25,109.95,110.45,506400,110.45
2015-10-16,110.40,110.85,109.70,110.35,915200,110.35
2015-10-15,108.50,109.95,107.70,109.90,749900,109.90
2015-10-14,107.80,108.40,106.90,107.30,635700,107.30
2015-10-13,109.50,109.65,107.65,108.80,771800,108.80
2015-10-12,110.80,110.85,109.60,110.15,527800,110.15
2015-10-09,110.65,110.85,109.85,110.45,776100,110.45
2015-10-08,109.00,109.60,108.10,109.40,871400,109.40
2015-10-07,109.85,110.65,108.90,109.25,894900,109.25
2015-10-06,108.75,109.95,107.90,109.45,690300,109.45
2015-10-05,107.85,109.15,107.35,108.70,879600,108.70
2015-10-02,105.05,106.75,103.70,105.65,931500,105.65
2015-10-01,106.95,107.20,103.95,104.50,1371300,104.50
